ID,Decision summary,Cluster,Current evidence,Existing coverage,Disposition,Target artifact,Confidence,Kayden required?
R001,The Workbench is a perpetual handoff,Continuity & handoff,No ADR states fresh-agent recovery as the acceptance boundary; 0035/0040 imply it. S-046 Outcome restates it as a spec goal only.,WB-0035 WB-0040,KEEP - ADR,CAND-A,High,no
R002,Complete the assigned outcome autonomously,Authority & governance planes,ADR-0035 + AGENTS 'Assigned Work And Stances' carry execution autonomy and the no-self-tasking limit verbatim.,WB-0035,ALREADY COVERED,ADR-0035,High,no
R003,Every imposed step must help delivery,Delivery without governance tax,"ADR-0034 accepted and canonicalized_in AGENTS.md, BLUEPRINT.md.",WB-0034,ALREADY COVERED,ADR-0034,High,no
R004,Standalone Workbench before coordination,Extension architecture (Foundry/CIC/Audit),Both accepted; AGENTS states no coordination system may be required.,WB-0015 WB-0026,ALREADY COVERED,"ADR-0015, ADR-0026",High,no
R005,One canonical Workbench source and release home,Extension architecture (Foundry/CIC/Audit),ADR-0026 names LLM_Workbench the sole source and records the rejected producer topology.,WB-0026,ALREADY COVERED,ADR-0026,High,no
R006,Instruction authority and implemented state are different questions,Authority & governance planes,ADR-0027 splits the two lists and names the three conditions; AGENTS State Resolution carries it.,WB-0027,ALREADY COVERED,ADR-0027,High,no
R007,Governance planes classify a claim in an operation,Authority & governance planes,0025 supersedes the blanket ADR/SPEC-as-Grounding rule explicitly.,WB-0001 WB-0025,ALREADY COVERED,"ADR-0001, ADR-0025",High,no
R008,Binding requirements live in their current owners,Authority & governance planes,ADR-0002 + canonicalized_in requirement.,WB-0002,ALREADY COVERED,ADR-0002,High,no
R009,The Contract is a logical claim set,Authority & governance planes,0033 rejects a coequal CONTRACT.md by name.,WB-0013 WB-0033,ALREADY COVERED,"ADR-0013, ADR-0033",High,no
R010,All planes permit CRUD subject to the operation,Authority & governance planes,"ADR-0003 states append-only is an artifact convention, not a plane ban.",WB-0003,ALREADY COVERED,ADR-0003,High,no
R011,A policy file is not enforcement,Authority & governance planes,0005 requires a running consumer; 0029 registers which consumers enforce.,WB-0005 WB-0023,ALREADY COVERED,"ADR-0005, ADR-0023",High,no
R012,Tools handle deterministic structure; agents handle judgment,Authority & governance planes,ADR-0023 also guards against the over-reading (a missing tool cannot fail ordinary work).,WB-0023,ALREADY COVERED,ADR-0023,High,no
R013,A check can block only what it evaluates,Delivery without governance tax,ADR-0020 forbids the global-green precondition by name.,WB-0020 WB-0029,ALREADY COVERED,"ADR-0020, ADR-0029",High,no
R014,Diagnostic effects belong to trusted consumers,Delivery without governance tax,diagnostics.mjs registers code/severity/scope/effect; verified 33 attention findings block nothing.,WB-0029,ALREADY COVERED,ADR-0029,High,no
R015,Ordinary work does not need a Job Order,Delivery without governance tax,"AGENTS: 'no coordination system, order form, flight, scheduler... may be required'.",GO-0021 WB-0015 WB-0026,ALREADY COVERED,"ADR-0015, ADR-0026",High,no
R016,A report never authorizes its own repair,"Evidence, review & evaluation",REPORT_FORMAT: 'A report never repairs its target or grants repair or automated-merge authority.',WB-0037 WB-0038 AU-0007,ALREADY COVERED,"ADR-0037, REPORT_FORMAT.md",High,no
R017,"Read-only applies to the named target, not every composed activity",Skill composition & bundle,No upstream rule composes read-only scope with effects; AU-0007 is the only worked example.,AU-0007 WB-0036,MERGE WITH CAND-E,CAND-E,Medium,no
R018,Owner authorization is scoped and cannot be fabricated,Authority & governance planes,ADR-0027 covers instruction authority order but not the no-widening-by-child rule.,GO-0009 WB-0027,MERGE WITH CAND-B,CAND-B,Medium,no
R019,"Separate Proof, Audit and Owner Command",Authority & governance planes,"No ADR separates mechanical proof, independent judgment and owner authorization; 0023/0037 each cover one edge.",-,KEEP - ADR,CAND-B,High,no
R020,Nearest-root boot with explicit outer safety inheritance,Authority & governance planes,ADR-0026 names the three boot shapes explicitly.,GO-0022 WB-0026,ALREADY COVERED,ADR-0026,High,no
R021,No machine-global import of one project's interior,"Adoption, upgrade & installed integrity",Nearest-root boot consequence; no machine-global import exists in this repo.,WB-0026,ALREADY COVERED,ADR-0026,Medium,no
R022,Stable specs own capability detail; boards project active work,"Records, ownership & navigation",TASKBOARD.md is a generated hot-specs projection with no separate decision store; verified.,WB-0033 WB-0035,ALREADY COVERED,"ADR-0033, ADR-0035",High,no
R023,Size execution slices for a fresh context,"Records, ownership & navigation",tracer-bullet skill ships; no written sizing heuristic. Token/byte thresholds were never owner-accepted.,-,KEEP - DOC,RUNBOOK / tracer-bullet,Medium,no
R024,Keep completed evidence and link successors,"Records, ownership & navigation",AGENTS forbids rewriting append-only evidence; successor-linking has no stated owner rule.,WB-0003 WB-0035,MERGE WITH CAND-S,CAND-S,Medium,no
R025,Six lowercase support lanes ship as structural slots,"Records, ownership & navigation",Six lanes present on disk and declared in manifest schema 2.,WB-0017,ALREADY COVERED,ADR-0017,High,no
R026,The manifest declares machine-used paths,"Records, ownership & navigation",manifest.json schema 2 declares six lanes and seven collections; workbench-paths.mjs is the single reader.,WB-0032,ALREADY COVERED,ADR-0032,High,no
R027,Every project has a local Wiki,"Records, ownership & navigation",workbench/wiki/ present with MEMORY.md router and SCHEMA.md.,WB-0018,ALREADY COVERED,ADR-0018,High,no
R028,Wiki and recall index have different ownership,"Records, ownership & navigation","SCHEMA knowledge_role already admits 'derived'; no recall-database consumer exists, so only the boundary note is owed.",-,KEEP - DOC,workbench/wiki/SCHEMA.md,Medium,no
R029,Traverse from a context map before broad searching,"Records, ownership & navigation","ADR-0042 accepted 2026-09-06, canonicalized in AGENTS/BLUEPRINT/LEXICON.",WB-0042,ALREADY COVERED,ADR-0042,High,no
R030,Lexicon is a bounded glossary and route map,"Records, ownership & navigation",LEXICON is a bounded glossary with routing; no rename occurred.,WB-0042,ALREADY COVERED,"ADR-0042, LEXICON.md",Med-High,no
R031,Cross-context relationships are derived from existing owners,"Records, ownership & navigation",ADR-0042 rejects a second master index by name.,GO-0016 WB-0042,ALREADY COVERED,"ADR-0042, ADR-0002",High,no
R032,"Use shallow, human-readable knowledge organization","Records, ownership & navigation",SCHEMA line 80: 'Keep every collection flat; do not add category indexes.',WB-0018,ALREADY COVERED,workbench/wiki/SCHEMA.md,High,no
R033,"Guidebooks are Wiki collections, not a new lane","Records, ownership & navigation",ADR-0018 rejects a guidebooks lane by name.,WB-0018,ALREADY COVERED,ADR-0018,High,no
R034,Design Concepts explain the model and link evidence,"Records, ownership & navigation",ADR-0030 requires Evidence and Sources plus History.,WB-0030,ALREADY COVERED,ADR-0030,High,no
R035,Design Concept creation is owner-directed,"Records, ownership & navigation",ADR-0030: owner alone authorizes creation; agents mark stale rather than infer.,WB-0030,ALREADY COVERED,ADR-0030,High,no
R036,Parent knowledge is shared; child knowledge stays local,"Records, ownership & navigation",Parent/child ownership stated in ADR-0030.,WB-0030,ALREADY COVERED,ADR-0030,High,no
R037,Update touched owners during the same work,"Records, ownership & navigation",AGENTS: 'Documentation is part of done; the implementing agent is its documentation owner' plus the routing table.,WB-0002 WB-0035,ALREADY COVERED,AGENTS.md,High,no
R038,"Promotion is per decision, with preserved provenance","Records, ownership & navigation",RESOLVED 2026-09-07: per-decision promotion with provenance becomes a base capability once promote enters core. Its plane routing is already ADR-0025-correct and is the model save must be reconciled to.,WB-0002 WB-0040,RESOLVED,ADR (CAND-F),High,no
R039,Small independent ADRs preserve the reasons,"Records, ownership & navigation","28 small ADRs demonstrate the practice; the threshold rationale is nowhere written, and this triage needed it.",-,KEEP - DOC,ADR authoring guidance,Med-High,no
R040,ADR publication must update binding controls and links,"Records, ownership & navigation",ADR-0002 states the rule; nothing checks that a canonicalized_in target actually carries the rule.,WB-0002 WB-0030,KEEP - CONTRACT,AGENTS.md + new conformance test,Med-High,no
R041,No extra ADR index was originally selected,"Records, ownership & navigation","RECONCILED: REGISTER.md is generated by adr.mjs, marked do-not-edit, and stale-register is attention/blocks-none. The 2026-09-03 no-hand-index ruling is intact.",-,ALREADY COVERED,REGISTER.md,High,no
R042,Names and identities are independent,"Records, ownership & navigation",ADR-0041 preserves references and rejects a second global identity.,WB-0041,ALREADY COVERED,ADR-0041,High,no
R043,Visible base-62 identifiers are local to type and Workbench,"Records, ownership & navigation",S-047 open; ADR-0041 says accepting it migrates nothing.,WB-0041,ALREADY COVERED,"ADR-0041, S-047",High,no
R044,Objective continuity crosses providers and sessions,Continuity & handoff,Cross-provider resume tooling exists (tools/cross-provider-resume.mjs); the acceptance boundary is unstated.,WB-0040 WB-0035,MERGE WITH CAND-A,CAND-A,High,no
R045,New live notepads use versioned JSON,Continuity & handoff,"S-046 active, TK-002 ready; ADR-0040 accepted.",WB-0040,ALREADY COVERED,"ADR-0040, S-046",High,no
R046,Editable resume state plus append-oriented work history,Continuity & handoff,S-046 Decisions: resume view plus append-oriented record accepted; field names are engineering.,WB-0040,ALREADY COVERED,"ADR-0040, S-046",High,no
R047,"Capture by survival value, not exhaustive event logging",Continuity & handoff,"ADR-0040: 'JSON is a storage format, not unlimited storage'.",WB-0040,ALREADY COVERED,ADR-0040,High,no
R048,Raw live notes remain local and non-authoritative,Continuity & handoff,Both accepted; sessions/.gitignore keeps grilling and handoffs untracked.,WB-0028 WB-0040,ALREADY COVERED,"ADR-0028, ADR-0040",High,no
R049,Dispose only after reconciliation; preserve unresolved material,Continuity & handoff,S-046 records P-2 reconcile-before-delete under explicit make-it-so authority.,WB-0040,ALREADY COVERED,"ADR-0040, S-046 P-2",High,no
