id,decision_summary,cluster,historical_intent,historical_status,original_problem,assumptions,observed_state,current_evidence,existing_coverage,first_pass_observation,inference,recommendation,disposition,target_artifact,confidence,kayden_required,decision_status,source_ids,source_files,first_pass_disposition,first_pass_target
R001,The Workbench is a perpetual handoff,Continuity & handoff,"A fresh capable agent should reconstruct the current objective, settled decisions, relevant knowledge, achieved work and next action from maintained project owners, without the owner rebuilding the conversation for it.",Accepted,Continuity is the product promise; a collection of control files is only its implementation.,Historical local-only/checkpoint rules are narrowed by N/Q. Multiple notes are allowed; unsaved state and unpushed code are outside a confirmed saved-note recovery claim.,Controls select objective-scoped JSON notes and durable-owner reconciliation. S-046 runtime remains pending and S-048 remains planned. The cold-resume fixture passed its no-resumer rejection; no real host resume was run.,BLUEPRINT.md; LEXICON.md; workbench/docs/adr/0040-json-notepads-preserve-objective-continuity.md; workbench/specs/S-046-json-notepad-foundation/SPEC.md; workbench/specs/S-048-checkpoint-retirement/SPEC.md; workbench/sessions/.gitignore,WB-0035 WB-0040,No ADR states fresh-agent recovery as the acceptance boundary; 0035/0040 imply it. S-046 Outcome restates it as a spec goal only.,"The smallest useful current treatment is the named target. This is a review recommendation, not newly accepted architecture.",Fresh-agent continuity applies to the whole Workbench. ADR-0040 covers unfinished local context; it must not become the sole owner of the product promise.,KEEP - ADR,CAND-A,High,False,Accepted (historical source status),G-6a9b3084; G-6a9cff88,evidence/g-6a9b3084.md; evidence/g-6a9cff88.md,KEEP - ADR,CAND-A
R002,Complete the assigned outcome autonomously,Authority & governance planes,Investigate facts and make supported implementation decisions within assigned work. Do not invent the next task or enlarge the assignment.,Accepted,"Autonomy was requested inside a real task, with an explicit limit on self-generated work.",Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0035,ADR-0035 + AGENTS 'Assigned Work And Stances' carry execution autonomy and the no-self-tasking limit verbatim.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0035 + AGENTS 'Assigned Work And Stances' carry execution autonomy and the no-self-tasking limit verbatim.",ALREADY COVERED,ADR-0035,High,False,Accepted (historical source status),WB-0035; B-BOUNDARIES,evidence/wb-0035.md; evidence/b-boundaries.md,ALREADY COVERED,ADR-0035
R003,Every imposed step must help delivery,Delivery without governance tax,"A mandatory step must provide immediate delivery value, a checkable decision or artifact, or actual risk reduction. Uncertain-value practices remain optional for review.",Accepted,The Foundry repeatedly made procedural completion its own deliverable.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,Doctor ran successfully with zero blockers and 33 informational findings. Registered blocking effects remain distinct from severity; delivery rules are normative.,AGENTS.md; workbench/tools/diagnostics.mjs; workbench/tools/spec-workbench.mjs,WB-0034,"ADR-0034 accepted and canonicalized_in AGENTS.md, BLUEPRINT.md.",The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0034 accepted and canonicalized_in AGENTS.md, BLUEPRINT.md.",ALREADY COVERED,ADR-0034,High,False,Accepted (historical source status),WB-0034; B-BOUNDARIES,evidence/wb-0034.md; evidence/b-boundaries.md,ALREADY COVERED,ADR-0034
R004,Standalone Workbench before coordination,Extension architecture (Foundry/CIC/Audit),"A project Workbench must work by itself. Foundry, schedulers, dashboards, sockets and cross-project coordination are extensions justified by functioning Workbenches.",Accepted,The unfinished factory became a prerequisite for the base needed to build it.,The historical system assumed Foundry/Flight/CIC or multi-room coordination. Those mechanisms are not prerequisites for the current portable base.,The live base excludes required Foundry orchestration. Historical extension records remain evidence in their original domain; existence of ancillary code does not make a base feature. No retired runtime was exercised.,BLUEPRINT.md; workbench/docs/adr/0015-workbench-base-and-foundry-capabilities.md; workbench/docs/adr/0026-workbench-is-the-sole-source-and-foundry-extends-it.md,WB-0015 WB-0026,Both accepted; AGENTS states no coordination system may be required.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. Both accepted; AGENTS states no coordination system may be required.",ALREADY COVERED,"ADR-0015, ADR-0026",High,False,Accepted (historical source status),WB-0026; G-6a9ae606; G-6a9b3084,evidence/wb-0026.md; evidence/g-6a9ae606.md; evidence/g-6a9b3084.md,ALREADY COVERED,"ADR-0015, ADR-0026"
R005,One canonical Workbench source and release home,Extension architecture (Foundry/CIC/Audit),LLM_Workbench authors and releases the harness. GPT_OS and other deployments adopt it; an embedded private producer is no longer upstream.,Accepted,Multiple authoring copies caused drift and confused ownership.,The historical system assumed Foundry/Flight/CIC or multi-room coordination. Those mechanisms are not prerequisites for the current portable base.,The live base excludes required Foundry orchestration. Historical extension records remain evidence in their original domain; existence of ancillary code does not make a base feature. No retired runtime was exercised.,BLUEPRINT.md; workbench/docs/adr/0015-workbench-base-and-foundry-capabilities.md; workbench/docs/adr/0026-workbench-is-the-sole-source-and-foundry-extends-it.md,WB-0026,ADR-0026 names LLM_Workbench the sole source and records the rejected producer topology.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0026 names LLM_Workbench the sole source and records the rejected producer topology.",ALREADY COVERED,ADR-0026,High,False,Accepted (historical source status),WB-0026,evidence/wb-0026.md,ALREADY COVERED,ADR-0026
R006,Instruction authority and implemented state are different questions,Authority & governance planes,"Compare accepted intent with live implementation and name an implementation gap, documentation drift, or unresolved ambiguity. Neither source code nor an ADR automatically wins every disagreement.",Accepted,Code-first precedence erased accepted future behavior; prose-first precedence claimed behavior never built.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0027,ADR-0027 splits the two lists and names the three conditions; AGENTS State Resolution carries it.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0027 splits the two lists and names the three conditions; AGENTS State Resolution carries it.",ALREADY COVERED,ADR-0027,High,False,Accepted (historical source status),WB-0027; H-FR,evidence/wb-0027.md; evidence/h-fr.md,ALREADY COVERED,ADR-0027
R007,Governance planes classify a claim in an operation,Authority & governance planes,"Classify the claim's use, not the entire file or directory. A spec can contain requirements, status, evidence and history, and can itself be the target of an edit.",Accepted,Permanent file classifications created contradictions when repairing controls or appending evidence.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0001 WB-0025,0025 supersedes the blanket ADR/SPEC-as-Grounding rule explicitly.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. 0025 supersedes the blanket ADR/SPEC-as-Grounding rule explicitly.",ALREADY COVERED,"ADR-0001, ADR-0025",High,False,Accepted (historical source status),WB-0025; D-GP,evidence/wb-0025.md; evidence/d-gp.md,ALREADY COVERED,"ADR-0001, ADR-0025"
R008,Binding requirements live in their current owners,Authority & governance planes,"Promote each binding requirement into the appropriate current control or assigned spec. ADRs preserve why, alternatives and supersession; agents must not reconstruct binding rules from historical conversations.",Accepted,A decision written only in history remained invisible to ordinary execution.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0002,ADR-0002 + canonicalized_in requirement.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0002 + canonicalized_in requirement.",ALREADY COVERED,ADR-0002,High,False,Accepted (historical source status),WB-0002; D-GP,evidence/wb-0002.md; evidence/d-gp.md,ALREADY COVERED,ADR-0002
R009,The Contract is a logical claim set,Authority & governance planes,Seven root controls plus the explicitly assigned spec carry the Workbench Contract. Do not add a coequal CONTRACT.md that restates them.,Accepted,A new summary file would create a second owner for the same rules.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0013 WB-0033,0033 rejects a coequal CONTRACT.md by name.,The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. 0033 rejects a coequal CONTRACT.md by name.",ALREADY COVERED,"ADR-0013, ADR-0033",High,False,Accepted (historical source status),WB-0033,evidence/wb-0033.md,ALREADY COVERED,"ADR-0013, ADR-0033"
R010,All planes permit CRUD subject to the operation,Authority & governance planes,"Create, read, update and delete are available across all planes. Append-only evidence and ADR supersession are artifact conventions, not universal plane prohibitions.",Accepted,Absolute plane bans prevented legitimate owner-authorized repair and obscured the actual risk.,Historical mechanism and source scope must still apply; current coverage is not proof of complete runtime behavior.,"Current controls separate authority and state resolution; ADRs own rationale and cannot enlarge scope. This is verified prose, not proof every agent obeys.",AGENTS.md; LEXICON.md; workbench/docs/adr/0027-instruction-authority-is-separate-from-state-resolution.md; workbench/docs/adr/0023-mechanical-guarantees-and-agent-obligations.md,WB-0003,"ADR-0003 states append-only is an artifact convention, not a plane ban.",The historical concern has a current owner; no extra artifact follows merely from an ADR gap.,"Retain the prior disposition, bounded by the original proposition and current evidence. ADR-0003 states append-only is an artifact convention, not a plane ban.",ALREADY COVERED,ADR-0003,High,False,Accepted (historical source status),WB-0003; D-GP,evidence/wb-0003.md; evidence/d-gp.md,ALREADY COVERED,ADR-0003
